grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G02640,126.913275,37.395413,3.0,60.0,0.3119,0.9119,0.9119
G03595,126.92006,37.407125,4.0,100.0,0.1109,0.9109,0.9109
G02348,126.913275,37.391809,2.0,40.0,0.5087,0.9087,0.9087
G02344,126.908752,37.391809,1.0,20.0,0.7083,0.9083,0.9083
G02018,126.952853,37.387305,1.0,20.0,0.705,0.905,0.905
G02553,126.979992,37.393611,3.0,60.0,0.2984,0.8984,0.8984
G02655,126.930237,37.395413,1.0,20.0,0.6954,0.8954,0.8954
G04250,126.917798,37.415233,1.0,20.0,0.6931,0.8931,0.8931
G02975,126.961899,37.399016,1.0,20.0,0.6923,0.8923,0.8923
G03523,126.92119,37.406224,4.0,100.0,0.0921,0.8921,0.8921
G03109,126.948329,37.400818,1.0,20.0,0.6921,0.8921,0.8921
G02641,126.914406,37.395413,3.0,60.0,0.292,0.892,0.892
G03475,126.94946,37.405323,2.0,40.0,0.4918,0.8918,0.8918
G02223,126.937022,37.390007,2.0,40.0,0.4918,0.8918,0.8918
G02345,126.909883,37.391809,3.0,60.0,0.2913,0.8913,0.8913
G03408,126.956245,37.404422,1.0,20.0,0.6859,0.8859,0.8859
G04152,126.972076,37.413431,1.0,20.0,0.6856,0.8856,0.8856
G03039,126.951722,37.399917,2.0,40.0,0.4848,0.8848,0.8848
G03887,126.92006,37.410728,1.0,20.0,0.6837,0.8837,0.8837
G01927,126.932498,37.386404,2.0,40.0,0.4807,0.8807,0.8807
G03164,126.927975,37.401719,2.0,40.0,0.4758,0.8758,0.8758
G03315,126.933629,37.403521,1.0,20.0,0.6707,0.8707,0.8707
G02492,126.911013,37.393611,3.0,60.0,0.269,0.869,0.869
G00917,126.946068,37.373791,3.0,60.0,0.2671,0.8671,0.8671
G02480,126.979992,37.39271,3.0,60.0,0.2653,0.8653,0.8653
G02732,126.93476,37.396314,3.0,60.0,0.2638,0.8638,0.8638
G02431,126.924583,37.39271,2.0,40.0,0.4625,0.8625,0.8625
G02077,126.937022,37.388206,1.0,20.0,0.6624,0.8624,0.8624
G02233,126.948329,37.390007,2.0,40.0,0.462,0.862,0.862
G02207,126.918929,37.390007,3.0,60.0,0.261,0.861,0.861
G04323,126.917798,37.416134,1.0,20.0,0.6607,0.8607,0.8607
G03058,126.973207,37.399917,1.0,20.0,0.6606,0.8606,0.8606
G02292,126.932498,37.390908,3.0,60.0,0.2575,0.8575,0.8575
G03334,126.955114,37.403521,1.0,20.0,0.6575,0.8575,0.8575
G02932,126.913275,37.399016,1.0,20.0,0.6555,0.8555,0.8555
G01831,126.90649,37.385503,3.0,60.0,0.2534,0.8534,0.8534
G02176,126.966422,37.389107,1.0,20.0,0.6518,0.8518,0.8518
G02474,126.973207,37.39271,1.0,20.0,0.6509,0.8509,0.8509
G03034,126.946068,37.399917,2.0,40.0,0.4475,0.8475,0.8475
G02172,126.961899,37.389107,1.0,20.0,0.6442,0.8442,0.8442
G03731,126.908752,37.408926,3.0,60.0,0.2436,0.8436,0.8436
G03188,126.955114,37.401719,1.0,20.0,0.6423,0.8423,0.8423
G03732,126.909883,37.408926,2.0,40.0,0.4403,0.8403,0.8403
G02765,126.972076,37.396314,1.0,20.0,0.6391,0.8391,0.8391
G02936,126.917798,37.399016,3.0,60.0,0.2383,0.8383,0.8383
G02143,126.929106,37.389107,2.0,40.0,0.4374,0.8374,0.8374
